clean_title,clean_author,subjects,source
"Advanced Airbrush Book, The",Cecil Misstear,"['Airbrush art', 'Technique', 'Airbrushtechnik', 'Airbrush art, technique']",openlibrary.org
Advanced Boxing,Rakesh Sondhi,['Boxing'],openlibrary.org
Advanced Brazilian Jiu Jitsu Techniques,Marcelo Garcia,['Jiu-jitsu'],openlibrary.org
Advanced Bush Craft,Dave Canterbury,[],openlibrary.org
Advanced Persistant Threat Hacking,Tyler Wrightson,[],openlibrary.org
Advanced Spiritual Intimacy,Stuart Sovatsky,"['Celibacy', 'Kundalini', 'Tantrism', 'Sex, religious aspects, tantrism']",openlibrary.org
Adventures Of Lucky Pierre,Robert Coover,"['Actors', 'Erotic films', 'Fiction', 'Motion picture actors and actresses', 'Motion picture industry', 'Women motion picture producers and directors', 'Fiction, erotica, general', 'Actors, fiction', 'Motion picture industry, fiction']",openlibrary.org
"Adventurous Boys Handbook, The",Stephen Brennan,"['Outdoor life', 'Outdoor life, juvenile literature']",openlibrary.org
"Affair, The",Amanda Brooke,"['Young women', 'Fiction', 'Teenage pregnancy', 'Family secrets', 'Fiction, general']",openlibrary.org
African Ceremonies N1,Carol Beckwith,[],openlibrary.org
African Ceremonies N2,Carol Beckwith,[],openlibrary.org
African Elegance,Ettagale Blauer,"['African Art', 'Decorative arts', 'Clothing and dress', 'Textilien', 'Schmuck', 'Costume', 'Art, african', 'Photography, artistic', 'Architecture, africa']",openlibrary.org
African Erotica,Joseph Toledano,"['Fiction, erotica, general', 'Africa, fiction']",openlibrary.org
African Girls,Photo Art Lover,[],openlibrary.org
"African Origins, The",Muata Ashby,[],openlibrary.org
African Sleeping Sickness,Wanda Coleman,"['Manners and customs', 'Literary collections', 'Poetry (poetic works by one author)', 'American poetry', 'African American authors', 'American Short stories', 'Women authors']",openlibrary.org
African Visions: Diary Of An African Photographer,Mirella Ricciardi,[],openlibrary.org
